AGCODE,HSCODE,NAME,대분류 코드,대분류 명칭,중분류 코드,중분류 명칭,소분류코드,소분류명칭,AG코드분류
112011100,701100000,감자(종자용),1,농산물,112,서류,11201,감자,가공
112011900,701900000,감자(종자용 이외 기타),1,농산물,112,서류,11201,감자,가공
112011001,710100000,감자(냉동),1,농산물,112,서류,11201,감자,가공
112015905,712902093,감자(건조),1,농산물,112,서류,11201,감자,가공
112012001,1105100000,"감자(분, 조분)",1,농산물,112,서류,11201,감자,가공
112012002,1105200000,"감자(플레이크, 합착 및 펠리트)",1,농산물,112,서류,11201,감자,가공
112015901,2004100000,감자(조제저장처리/냉동),1,농산물,112,서류,11201,감자,가공
112015903,2005201000,플레이크로 만든 감자크로켓(냉동하지 않은 것/조제 및 보존처리/식초나 초산으로 처리한 것 제외),1,농산물,112,서류,11201,감자,가공
112015904,2005209000,감자(기타/조제저장처리/냉동제외),1,농산물,112,서류,11201,감자,가공
121610102,709609000,기타(고추류),1,농산물,121,채소류,12161,고추,신선
121610200,710807000,캐프시컴속 또는 피멘타속의 열매(냉동),1,농산물,121,채소류,12161,고추,신선
121610310,711905091,고추류(일시저장처리/고추의 것),1,농산물,121,채소류,12161,고추,신선
121610121,904210000,고추류 캡시컴속의 열매나 피멘타속의 열매(건조한 것/부수지도 잘게 부수지도 않은 것),1,농산물,121,채소류,12161,고추,신선
121610123,904220000,고추류(파쇄 또는 분쇄한 것),1,농산물,121,채소류,12161,고추,신선
121460100,703902000,대파,1,농산물,121,채소류,12146,대파,신선
121460200,710809010,대파(냉동),1,농산물,121,채소류,12146,대파,신선
121440500,703201000,마늘(탈피한 것),1,농산물,121,채소류,12144,마늘,신선
121440600,703209000,마늘(기타),1,농산물,121,채소류,12144,마늘,신선
121440200,710802000,마늘(냉동),1,농산물,121,채소류,12144,마늘,신선
121440300,711901000,마늘(일시저장),1,농산물,121,채소류,12144,마늘,신선
121440400,712901000,마늘(건조),1,농산물,121,채소류,12144,마늘,신선
121445300,2001909060,"마늘(식초, 초산 조제)",1,농산물,121,채소류,12144,마늘,신선
121210100,706901000,"무(신선, 냉장)",1,농산물,121,채소류,12121,무,신선
121210400,712902020,무(건조),1,농산물,121,채소류,12121,무,신선
116020121,808300000,배(신선),1,농산물,116,과실류,11602,배,신선
116025900,2008400000,배(기타 방법 조제),1,농산물,116,과실류,11602,배,신선
121010100,704902000,"배추(신선, 냉장)",1,농산물,121,채소류,12101,배추,신선
116010101,808100000,사과(신선),1,농산물,116,과실류,11601,사과,신선
116010102,813300000,사과(건조),1,농산물,116,과실류,11601,사과,신선
116015900,2008992000,사과(기타 방법 조제),1,농산물,116,과실류,11601,사과,신선
116015101,2009710000,사과주스(브릭스(Brix) 값이 20을 초과하지 않은 것),1,농산물,116,과실류,11601,사과,신선
116015102,2009790000,사과쥬스(기타),1,농산물,116,과실류,11601,사과,신선
121410101,703101010,양파(껍질을 벗긴 것),1,농산물,121,채소류,12141,양파,신선
121410102,703101090,양파(기타),1,농산물,121,채소류,12141,양파,신선
121410200,710801000,양파(냉동),1,농산물,121,채소류,12141,양파,신선
121410400,712200000,양파(건조),1,농산물,121,채소류,12141,양파,신선
121415301,2001909070,양파(조제저장처리),1,농산물,121,채소류,12141,양파,신선
